# x_m,y_m,w_tr_right_m,w_tr_left_m
-22.7000,2.9100,0.8000,0.8000
-22.4000,0.9100,1.1000,1.1000
-20.6000,0.0100,0.7000,0.7000
-18.6000,0.0100,0.8000,0.8000
-16.6000,0.0100,0.7000,0.7000
-14.6000,0.0100,0.9000,0.9000
-12.6000,0.0100,0.9000,0.9000
-10.6000,-0.0900,0.8000,0.8000
-8.6000,-0.0900,0.9055,0.9055
-6.6000,-0.0900,0.9000,0.9000
-4.6000,-0.0900,0.9000,0.9000
-2.6000,-0.0900,0.9000,0.9000
-0.6000,-0.0900,0.8062,0.8062
1.4000,-0.1900,0.9000,0.9000
3.4000,-0.1900,0.9000,0.9000
5.4000,-0.1900,0.9000,0.9000
7.4000,-0.1900,0.9000,0.9000
9.4000,-0.1900,0.9000,0.9000
11.4000,-0.2900,0.9000,0.9000
12.9000,0.4100,0.8062,0.8062
13.0000,2.4100,0.9000,0.9000
13.0000,4.4100,0.9000,0.9000
13.0000,6.4100,0.8000,0.8000
13.1000,8.4100,0.9000,0.9000
13.1000,10.4100,0.8000,0.8000
13.2000,12.4100,0.9000,0.9000
13.2000,14.4100,0.9000,0.9000
13.2000,16.4100,0.8544,0.8544
11.6000,17.0100,0.8000,0.8000
9.6000,17.1100,0.9000,0.9000
7.6000,17.1100,0.9000,0.9000
5.6000,17.1100,0.9055,0.9055
3.6000,17.2100,0.9000,0.9000
1.6000,17.2100,0.9000,0.9000
-0.4000,17.2100,0.9000,0.9000
-2.4000,17.2100,0.8000,0.8000
-4.4000,17.3100,0.8544,0.8544
-6.4000,17.3100,0.9000,0.9000
-8.4000,17.3100,0.9000,0.9000
-10.4000,17.3100,0.9000,0.9000
-12.4000,17.3100,0.9000,0.9000
-14.4000,17.4100,0.9000,0.9000
-16.4000,17.4100,0.8000,0.8000
-18.4000,17.4100,0.8000,0.8000
-20.4000,17.4100,0.9000,0.9000
-22.1000,16.6100,1.2000,1.2000
-22.5000,14.6100,0.8000,0.8000
-22.5000,12.6100,0.8000,0.8000
-21.6000,11.1100,0.6708,0.6708
-20.3000,9.4100,0.7280,0.7280
-20.5000,7.4100,0.6708,0.6708
-22.4000,6.1100,0.7810,0.7810
-22.7000,4.3100,0.8000,0.8000
