# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
0.0; 0.000; -0.058; 2.963; 2.963
0.3; 0.101; -0.027; 2.962; 2.962
0.6; 0.203; 0.011; 2.960; 2.960
0.9; 0.304; 0.046; 2.957; 2.958
1.2; 0.406; 0.065; 2.953; 2.954
1.5; 0.506; 0.042; 2.947; 2.947
1.8; 0.606; -0.047; 2.934; 2.935
2.1; 0.704; -0.099; 2.897; 2.898
2.4; 0.799; 0.556; 2.789; 2.844
2.7; 0.888; 0.917; 2.663; 2.816
3.0; 0.972; 0.965; 2.641; 2.812
3.3; 1.053; 0.956; 2.649; 2.816
3.6; 1.132; 0.989; 2.637; 2.816
3.9; 1.211; 1.086; 2.592; 2.811
4.2; 1.290; 1.218; 2.524; 2.803
4.5; 1.369; 1.325; 2.461; 2.795
4.8; 1.447; 1.454; 2.350; 2.764
5.1; 1.523; 1.607; 2.203; 2.727
5.4; 1.598; 1.766; 2.031; 2.691
5.7; 1.670; 1.919; 1.841; 2.659
6.0; 1.740; 2.060; 1.638; 2.632
6.3; 1.808; 2.186; 1.429; 2.612
6.6; 1.872; 2.296; 1.215; 2.598
6.9; 1.935; 2.388; 1.003; 2.590
7.2; 1.996; 2.462; 0.798; 2.588
7.5; 2.054; 2.516; 0.608; 2.588
7.8; 2.112; 2.551; 0.444; 2.590
8.1; 2.167; 2.568; 0.322; 2.588
8.4; 2.221; 2.571; 0.242; 2.582
8.7; 2.274; 2.566; 0.188; 2.573
9.0; 2.325; 2.558; 0.152; 2.562
9.3; 2.376; 2.547; 0.126; 2.550
9.6; 2.425; 2.534; 0.105; 2.537
9.9; 2.473; 2.522; 0.089; 2.523
10.2; 2.521; 2.508; 0.075; 2.509
10.5; 2.567; 2.495; 0.062; 2.496
10.8; 2.613; 2.481; 0.051; 2.482
11.1; 2.658; 2.467; 0.040; 2.468
11.4; 2.703; 2.454; 0.029; 2.454
11.7; 2.746; 2.440; 0.020; 2.440
12.0; 2.789; 2.426; 0.011; 2.426
12.3; 2.831; 2.412; 0.005; 2.412
12.6; 2.873; 2.397; 0.002; 2.397
12.9; 2.914; 2.382; 0.000; 2.382
13.2; 2.955; 2.367; 0.000; 2.367
13.5; 2.995; 2.353; 0.000; 2.353
13.8; 3.035; 2.338; 0.000; 2.338
14.1; 3.074; 2.323; 0.000; 2.323
14.4; 3.113; 2.309; 0.000; 2.309
14.7; 3.151; 2.294; 0.000; 2.294
15.0; 3.189; 2.280; 0.000; 2.280
15.3; 3.226; 2.266; 0.000; 2.266
15.6; 3.263; 2.252; 0.000; 2.252
15.9; 3.300; 2.237; 0.000; 2.237
16.2; 3.336; 2.223; 0.000; 2.223
16.5; 3.372; 2.210; 0.000; 2.210
16.8; 3.408; 2.196; 0.000; 2.196
17.1; 3.443; 2.182; 0.000; 2.182
17.4; 3.478; 2.168; 0.000; 2.168
17.7; 3.513; 2.155; 0.000; 2.155
18.0; 3.547; 2.141; 0.000; 2.141
18.3; 3.581; 2.128; 0.000; 2.128
18.6; 3.615; 2.115; 0.000; 2.115
18.9; 3.649; 2.101; 0.000; 2.101
19.2; 3.682; 2.088; 0.000; 2.088
19.5; 3.715; 2.075; 0.000; 2.075
19.8; 3.748; 2.062; 0.000; 2.062
20.1; 3.780; 2.049; 0.000; 2.049
20.4; 3.812; 2.036; 0.000; 2.036
20.7; 3.845; 2.024; 0.000; 2.024
21.0; 3.876; 2.011; -0.000; 2.011
21.3; 3.908; 1.995; -0.023; 1.995
21.6; 3.940; 1.974; -0.076; 1.975
21.9; 3.971; 1.947; -0.156; 1.953
22.2; 4.002; 1.914; -0.258; 1.932
22.5; 4.033; 1.877; -0.370; 1.913
22.8; 4.063; 1.838; -0.475; 1.898
23.1; 4.094; 1.803; -0.560; 1.888
23.4; 4.124; 1.778; -0.606; 1.878
23.7; 4.154; 1.698; -0.604; 1.802
24.0; 4.185; -5.234; -0.577; 5.266
24.3; 4.216; -5.160; -0.529; 5.187
24.6; 4.247; -5.095; -0.438; 5.114
24.9; 4.279; -5.034; -0.322; 5.045
25.2; 4.311; -4.972; -0.202; 4.976
25.5; 4.344; -4.906; -0.101; 4.907
25.8; 4.378; -4.834; -0.031; 4.834
26.1; 4.412; -4.758; -0.000; 4.758
26.4; 4.447; -4.678; 0.006; 4.678
26.7; 4.483; -4.600; 0.008; 4.600
27.0; 4.519; -4.523; 0.014; 4.523
27.3; 4.556; -4.447; 0.026; 4.447
27.6; 4.594; -4.370; 0.045; 4.371
27.9; 4.632; -4.295; 0.069; 4.295
28.2; 4.672; -4.219; 0.097; 4.220
28.5; 4.712; -4.145; 0.127; 4.147
28.8; 4.753; -4.072; 0.157; 4.075
29.1; 4.795; -4.000; 0.186; 4.004
29.4; 4.838; -3.929; 0.214; 3.935
29.7; 4.882; -3.859; 0.241; 3.867
30.0; 4.927; -3.791; 0.268; 3.800
30.3; 4.973; -3.723; 0.296; 3.734
30.6; 5.021; -3.655; 0.328; 3.670
30.9; 5.070; -3.586; 0.367; 3.605
31.2; 5.120; -3.516; 0.418; 3.541
31.5; 5.172; -3.441; 0.488; 3.476
31.8; 5.226; -3.360; 0.583; 3.410
32.1; 5.281; -3.266; 0.713; 3.343
32.4; 5.339; -3.156; 0.886; 3.278
32.7; 5.400; -3.025; 1.097; 3.217
33.0; 5.463; -2.875; 1.325; 3.166
33.3; 5.529; -2.714; 1.554; 3.127
33.6; 5.598; -2.546; 1.770; 3.101
33.9; 5.671; -2.379; 1.966; 3.086
34.2; 5.746; -2.217; 2.137; 3.080
34.5; 5.825; -2.066; 2.282; 3.078
34.8; 5.906; -1.928; 2.402; 3.080
35.1; 5.989; -1.800; 2.504; 3.083
