# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; 0.13364; 1.8; 0.0; 2.8
0.3; 0.101; 0.13201; 1.9; 0.0; 2.8
0.6; 0.203; 0.12964; 2.1; 0.0; 2.8
0.9; 0.304; 0.12669; 2.1; 0.0; 2.8
1.2; 0.406; 0.12350; 2.0; 0.0; 2.8
1.5; 0.506; 0.12056; 1.7; 0.0; 2.7
1.8; 0.606; 0.11867; 1.4; 0.0; 2.7
2.1; 0.704; 0.12189; 3.9; 0.0; 2.6
2.4; 0.799; 0.12669; 5.3; 0.0; 2.5
2.7; 0.888; 0.12853; 5.5; 0.0; 2.5
3.0; 0.972; 0.12633; 5.5; 0.0; 2.5
3.3; 1.053; 0.12078; 5.6; 0.0; 2.5
3.6; 1.132; 0.11290; 6.0; 0.0; 2.4
3.9; 1.211; 0.10420; 6.5; 0.0; 2.4
4.2; 1.290; 0.09640; 7.0; -0.1; 2.3
4.5; 1.369; 0.08688; 8.2; -0.8; 2.2
4.8; 1.447; 0.07673; 9.5; -1.5; 2.1
5.1; 1.523; 0.06658; 10.8; -2.2; 1.9
5.4; 1.598; 0.05676; 12.1; -2.9; 1.7
5.7; 1.670; 0.04749; 13.2; -3.4; 1.5
6.0; 1.740; 0.03889; 14.2; -3.9; 1.3
6.3; 1.808; 0.03106; 15.0; -4.2; 1.1
6.6; 1.872; 0.02404; 15.8; -4.5; 0.9
6.9; 1.935; 0.01789; 16.4; -4.8; 0.7
7.2; 1.996; 0.01270; 16.9; -5.0; 0.6
7.5; 2.054; 0.00861; 17.3; -5.1; 0.4
7.8; 2.112; 0.00582; 17.5; -5.2; 0.3
8.1; 2.167; 0.00412; 17.7; -5.3; 0.2
8.4; 2.221; 0.00307; 17.9; -5.4; 0.2
8.7; 2.274; 0.00237; 18.0; -5.4; 0.1
9.0; 2.325; 0.00189; 18.2; -5.5; 0.1
9.3; 2.376; 0.00153; 18.3; -5.5; 0.1
9.6; 2.425; 0.00124; 18.4; -5.6; 0.1
9.9; 2.473; 0.00100; 18.5; -5.6; 0.1
10.2; 2.521; 0.00079; 18.6; -5.7; 0.1
10.5; 2.567; 0.00060; 18.7; -5.7; 0.0
10.8; 2.613; 0.00043; 18.8; -5.8; 0.0
11.1; 2.658; 0.00029; 18.9; -5.8; 0.0
11.4; 2.703; 0.00016; 19.0; -5.8; 0.0
11.7; 2.746; 0.00006; 19.1; -5.9; 0.0
12.0; 2.789; -0.00000; 19.2; -5.9; 0.0
12.3; 2.831; -0.00003; 19.3; -6.0; 0.0
12.6; 2.873; -0.00002; 19.4; -6.0; 0.0
12.9; 2.914; -0.00000; 19.5; -6.1; 0.0
13.2; 2.955; 0.00000; 19.6; -6.1; 0.0
13.5; 2.995; 0.00000; 19.7; -6.1; 0.0
13.8; 3.035; 0.00000; 19.8; -6.2; 0.0
14.1; 3.074; 0.00000; 19.9; -6.2; 0.0
14.4; 3.113; 0.00000; 20.0; -6.3; 0.0
14.7; 3.151; 0.00000; 20.1; -6.3; 0.0
15.0; 3.189; 0.00000; 20.2; -6.3; 0.0
15.3; 3.226; 0.00000; 20.3; -6.4; 0.0
15.6; 3.263; 0.00000; 20.3; -6.4; 0.0
15.9; 3.300; 0.00000; 20.4; -6.5; 0.0
16.2; 3.336; 0.00000; 20.5; -6.5; 0.0
16.5; 3.372; 0.00000; 20.6; -6.5; 0.0
16.8; 3.408; 0.00000; 20.7; -6.6; 0.0
17.1; 3.443; 0.00000; 20.8; -6.6; 0.0
17.4; 3.478; 0.00000; 20.9; -6.7; 0.0
17.7; 3.513; 0.00000; 20.9; -6.7; 0.0
18.0; 3.547; 0.00000; 21.0; -6.7; 0.0
18.3; 3.581; 0.00000; 21.1; -6.8; 0.0
18.6; 3.615; 0.00000; 21.2; -6.8; 0.0
18.9; 3.649; 0.00000; 21.3; -6.8; 0.0
19.2; 3.682; 0.00000; 21.4; -6.9; 0.0
19.5; 3.715; 0.00000; 21.4; -6.9; 0.0
19.8; 3.748; 0.00000; 21.5; -7.0; 0.0
20.1; 3.780; 0.00000; 21.6; -7.0; 0.0
20.4; 3.812; 0.00000; 21.7; -7.0; 0.0
20.7; 3.845; -0.00001; 21.8; -7.1; -0.0
21.0; 3.876; -0.00037; 21.8; -7.1; -0.0
21.3; 3.908; -0.00109; 21.9; -7.1; -0.1
21.6; 3.940; -0.00202; 21.9; -7.1; -0.1
21.9; 3.971; -0.00302; 21.8; -7.1; -0.2
22.2; 4.002; -0.00394; 21.8; -7.1; -0.3
22.5; 4.033; -0.00463; 21.7; -7.1; -0.4
22.8; 4.063; -0.00496; 21.6; -7.1; -0.5
23.1; 4.094; -0.00481; 21.6; -7.1; -0.6
23.4; 4.124; -0.00415; 20.4; -6.1; -0.6
23.7; 4.154; -0.00305; 0.0; -11.9; -0.5
24.0; 4.185; -0.00174; 0.0; -11.8; -0.5
24.3; 4.216; -0.00048; 0.0; -11.8; -0.4
24.6; 4.247; 0.00055; 0.0; -11.8; -0.3
24.9; 4.279; 0.00121; 0.0; -11.8; -0.2
25.2; 4.311; 0.00146; 0.0; -11.8; -0.1
25.5; 4.344; 0.00130; 0.0; -11.7; -0.0
25.8; 4.378; 0.00082; 0.0; -11.7; -0.0
26.1; 4.412; 0.00035; 0.0; -11.6; 0.0
26.4; 4.447; 0.00016; 0.0; -11.5; 0.0
26.7; 4.483; 0.00018; 0.0; -11.4; 0.0
27.0; 4.519; 0.00033; 0.0; -11.3; 0.0
27.3; 4.556; 0.00057; 0.0; -11.2; 0.0
27.6; 4.594; 0.00084; 0.0; -11.2; 0.1
27.9; 4.632; 0.00114; 0.0; -11.1; 0.1
28.2; 4.672; 0.00144; 0.0; -11.0; 0.1
28.5; 4.712; 0.00175; 0.0; -10.9; 0.1
28.8; 4.753; 0.00206; 0.0; -10.8; 0.2
29.1; 4.795; 0.00238; 0.0; -10.7; 0.2
29.4; 4.838; 0.00274; 0.0; -10.6; 0.2
29.7; 4.882; 0.00314; 0.0; -10.5; 0.3
30.0; 4.927; 0.00362; 0.0; -10.4; 0.3
30.3; 4.973; 0.00423; 0.0; -10.3; 0.3
30.6; 5.021; 0.00504; 0.0; -10.2; 0.3
30.9; 5.070; 0.00615; 0.0; -10.1; 0.4
31.2; 5.120; 0.00771; 0.0; -10.0; 0.5
31.5; 5.172; 0.00994; 0.0; -9.9; 0.5
31.8; 5.226; 0.01312; 0.0; -9.6; 0.7
32.1; 5.281; 0.01756; 0.0; -9.4; 0.8
32.4; 5.339; 0.02336; 0.0; -9.0; 1.0
32.7; 5.400; 0.03028; 0.0; -8.5; 1.2
33.0; 5.463; 0.03816; 0.0; -8.0; 1.5
33.3; 5.529; 0.04685; 0.0; -7.5; 1.7
33.6; 5.598; 0.05624; 0.0; -6.9; 1.8
33.9; 5.671; 0.06621; 0.0; -6.4; 2.0
34.2; 5.746; 0.07668; 0.0; -5.8; 2.1
34.5; 5.825; 0.08762; 0.0; -5.3; 2.2
34.8; 5.906; 0.09931; 0.0; -4.9; 2.3
35.1; 5.989; 0.11328; 0.8; -5.0; 2.4
35.4; 6.075; 0.12937; 1.8; -5.0; 2.5
35.7; 6.162; 0.14522; 2.6; -5.0; 2.6
36.0; 6.252; 0.15813; 2.9; -4.5; 2.7
36.3; 6.346; 0.16670; 2.9; -4.0; 2.7
36.6; 6.446; 0.16986; 1.8; -2.9; 2.7
36.9; 6.552; 0.16912; 1.4; -2.9; 2.7
37.2; 6.664; 0.16564; 2.0; 0.0; 2.8
37.5; 6.781; 0.15801; 1.7; 0.0; 2.7
37.8; 6.897; 0.14711; 2.7; 0.0; 2.7
38.1; 7.013; 0.14311; 5.9; 0.0; 2.4
38.4; 7.124; 0.13595; 6.8; 0.0; 2.3
38.7; 7.229; 0.12450; 7.2; 0.0; 2.2
39.0; 7.329; 0.11247; 7.7; -0.2; 2.2
39.3; 7.423; 0.09753; 9.1; -1.1; 2.0
39.6; 7.513; 0.08164; 10.7; -2.1; 1.9
39.9; 7.598; 0.06589; 12.3; -2.9; 1.6
40.2; 7.680; 0.05092; 13.8; -3.7; 1.4
40.5; 7.757; 0.03713; 15.0; -4.2; 1.1
40.8; 7.831; 0.02488; 15.9; -4.6; 0.8
41.1; 7.902; 0.01450; 16.7; -4.9; 0.5
41.4; 7.970; 0.00644; 17.2; -5.0; 0.2
41.7; 8.034; 0.00086; 17.5; -5.1; 0.0
42.0; 8.097; -0.00237; 17.5; -5.2; -0.1
42.3; 8.157; -0.00634; 17.4; -5.2; -0.3
42.6; 8.215; -0.01047; 17.2; -5.1; -0.4
42.9; 8.272; -0.01419; 17.0; -5.0; -0.6
43.2; 8.327; -0.01701; 16.7; -4.9; -0.8
43.5; 8.380; -0.01898; 16.4; -4.8; -0.9
43.8; 8.432; -0.02047; 16.2; -4.8; -1.1
44.1; 8.483; -0.02167; 15.9; -4.7; -1.2
44.4; 8.533; -0.02264; 15.7; -4.6; -1.3
44.7; 8.582; -0.02332; 15.5; -4.5; -1.4
45.0; 8.630; -0.02352; 15.3; -4.5; -1.4
45.3; 8.678; -0.02301; 15.3; -4.5; -1.4
45.6; 8.724; -0.02153; 15.5; -4.6; -1.4
45.9; 8.770; -0.01888; 8.4; -0.0; -1.3
46.2; 8.815; -0.01505; 0.0; -9.2; -1.2
46.5; 8.861; -0.01066; 0.0; -9.5; -1.0
46.8; 8.908; -0.00621; 0.0; -9.8; -0.8
47.1; 8.957; -0.00207; 0.0; -10.1; -0.5
47.4; 9.007; 0.00152; 0.0; -10.3; -0.2
47.7; 9.059; 0.00446; 0.0; -10.3; 0.1
48.0; 9.113; 0.00788; 0.0; -10.1; 0.3
48.3; 9.169; 0.01184; 0.0; -9.8; 0.5
48.6; 9.227; 0.01646; 0.0; -9.5; 0.7
48.9; 9.287; 0.02195; 0.0; -9.2; 0.9
49.2; 9.350; 0.02858; 0.0; -8.8; 1.1
49.5; 9.416; 0.03670; 0.0; -8.3; 1.3
49.8; 9.485; 0.04674; 0.0; -7.8; 1.5
50.1; 9.557; 0.05910; 0.0; -7.1; 1.7
50.4; 9.633; 0.07341; 0.0; -6.4; 2.0
50.7; 9.712; 0.08881; 0.0; -5.6; 2.2
51.0; 9.795; 0.10469; 0.0; -4.9; 2.3
51.3; 9.883; 0.12109; 1.1; -5.0; 2.5
51.6; 9.975; 0.13890; 2.2; -5.1; 2.6
51.9; 10.071; 0.15491; 2.8; -4.7; 2.7
52.2; 10.172; 0.16683; 3.0; -4.1; 2.7
52.5; 10.277; 0.17265; 2.2; -3.2; 2.7
52.8; 10.381; 0.17297; 1.7; -2.9; 2.7
53.1; 10.482; 0.17055; 1.8; 0.0; 2.8
53.4; 10.578; 0.16502; 1.9; 0.0; 2.8
53.7; 10.674; 0.15606; 1.6; 0.0; 2.7
54.0; 10.775; 0.14549; 2.8; 0.0; 2.6
54.3; 10.882; 0.14137; 5.9; 0.0; 2.4
54.6; 10.989; 0.13457; 6.8; 0.0; 2.3
54.9; 11.092; 0.12376; 7.2; 0.0; 2.2
55.2; 11.190; 0.11282; 7.5; -0.1; 2.2
55.5; 11.283; 0.09894; 8.8; -0.9; 2.1
55.8; 11.371; 0.08425; 10.3; -1.8; 1.9
56.1; 11.456; 0.06991; 11.7; -2.6; 1.7
56.4; 11.537; 0.05653; 13.0; -3.3; 1.5
