# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 3.11; -0.01261; 0.96456; -0.27137; 0.05670
0.3; 0.101; 3.11; -0.01407; 0.97041; -0.25067; 0.10145
0.6; 0.203; 3.10; -0.01584; 0.97373; -0.21673; 0.14377
0.9; 0.304; 3.10; -0.01771; 0.97258; -0.17082; 0.18115
1.2; 0.406; 3.10; -0.01923; 0.96387; -0.11501; 0.21116
1.5; 0.506; 3.10; -0.01950; 0.94158; -0.05214; 0.23087
1.8; 0.606; 3.09; -0.01669; 0.89351; 0.01418; 0.23648
2.1; 0.704; 3.08; -0.00756; 0.80375; 0.07982; 0.22282
2.4; 0.799; 3.13; 0.00761; 0.74284; 0.14020; 0.18653
2.7; 0.888; 3.22; 0.01697; 0.76746; 0.18941; 0.13270
3.0; 0.972; 3.30; 0.01901; 0.79649; 0.22205; 0.06674
3.3; 1.053; 3.38; 0.01777; 0.80199; 0.23540; -0.00443
3.6; 1.132; 3.47; 0.01554; 0.78481; 0.22960; -0.06903
3.9; 1.211; 3.56; 0.01329; 0.75070; 0.20719; -0.11796
4.2; 1.290; 3.66; 0.01125; 0.70966; 0.17211; -0.14962
4.5; 1.369; 3.76; 0.00930; 0.67359; 0.12866; -0.16608
4.8; 1.447; 3.88; 0.00746; 0.62236; 0.08073; -0.17132
5.1; 1.523; 4.00; 0.00583; 0.56407; 0.03138; -0.16882
5.4; 1.598; 4.14; 0.00434; 0.50288; -0.01717; -0.16096
5.7; 1.670; 4.28; 0.00298; 0.44091; -0.06328; -0.14927
6.0; 1.740; 4.42; 0.00176; 0.37951; -0.10573; -0.13450
6.3; 1.808; 4.57; 0.00074; 0.31973; -0.14353; -0.11718
6.6; 1.872; 4.72; -0.00006; 0.26249; -0.17600; -0.09858
6.9; 1.935; 4.87; -0.00063; 0.20869; -0.20306; -0.08099
7.2; 1.996; 5.02; -0.00099; 0.15935; -0.22532; -0.06612
7.5; 2.054; 5.17; -0.00114; 0.11588; -0.24363; -0.05422
7.8; 2.112; 5.32; -0.00112; 0.08036; -0.25876; -0.04477
8.1; 2.167; 5.46; -0.00101; 0.05553; -0.27130; -0.03709
8.4; 2.221; 5.60; -0.00087; 0.04024; -0.28169; -0.03059
8.7; 2.274; 5.74; -0.00074; 0.03057; -0.29021; -0.02491
9.0; 2.325; 5.87; -0.00064; 0.02415; -0.29710; -0.01985
9.3; 2.376; 6.00; -0.00056; 0.01961; -0.30252; -0.01529
9.6; 2.425; 6.12; -0.00049; 0.01615; -0.30663; -0.01118
9.9; 2.473; 6.25; -0.00044; 0.01333; -0.30955; -0.00749
10.2; 2.521; 6.37; -0.00039; 0.01089; -0.31142; -0.00419
10.5; 2.567; 6.48; -0.00034; 0.00871; -0.31234; -0.00129
10.8; 2.613; 6.60; -0.00029; 0.00672; -0.31243; 0.00122
11.1; 2.658; 6.71; -0.00025; 0.00489; -0.31182; 0.00334
11.4; 2.703; 6.82; -0.00020; 0.00323; -0.31062; 0.00509
11.7; 2.746; 6.93; -0.00015; 0.00178; -0.30893; 0.00645
12.0; 2.789; 7.03; -0.00010; 0.00062; -0.30688; 0.00745
12.3; 2.831; 7.13; -0.00006; -0.00013; -0.30457; 0.00810
12.6; 2.873; 7.23; -0.00003; -0.00040; -0.30209; 0.00843
12.9; 2.914; 7.33; -0.00001; -0.00023; -0.29956; 0.00848
13.2; 2.955; 7.43; -0.00001; -0.00006; -0.29703; 0.00836
13.5; 2.995; 7.52; -0.00000; 0.00000; -0.29455; 0.00817
13.8; 3.035; 7.62; -0.00000; 0.00002; -0.29213; 0.00795
14.1; 3.074; 7.71; -0.00000; 0.00002; -0.28978; 0.00771
14.4; 3.113; 7.80; -0.00000; 0.00002; -0.28751; 0.00744
14.7; 3.151; 7.89; -0.00000; 0.00002; -0.28532; 0.00715
15.0; 3.189; 7.97; -0.00000; 0.00002; -0.28322; 0.00684
